Coefficient,Value
FP_y_gapH,7.46865653698281
FP_y_gapF,9.99998797290806
FP_pieH,4.90051038926301
FP_pieF,-10
FP_y_gapH_starr,-4.88848566256699
FP_y_gapF_starr,-8.09989640617362
FP_pieH_starr,-4.96637802133522
FP_pieF_starr,3.6030636162914
