Row,Loss_RAMSEY,Loss_OSR,CEV
Union,0.0988802530743557,5.18495069693129e+150,1.3577695038465e+76
Home,0.10271221483616,5.28572476398898e+150,1.37090072761446e+76
Foreign,0.0965006906980306,5.28572466728541e+150,1.37090071507399e+76
